video_id,schnitt_frequenz,durchschnittliche_bewegung,anzahl_frames,video_dauer_sek,ist_person_prominent,ist_tier_sichtbar,avg_objekte_pro_frame,avg_gesichter_pro_frame,dominante_emotion,ist_text_eingeblendet,text_sentiment_compound,video_kategorie
top_42_likes_874700_id_7542236120256482574,0.0,7.34305,24,24.0,0,1,1.8,1.0,neutral,1,0.8126,Vlog
top_57_likes_701500_id_7553724721108389133,0.0526315789473684,3.9207115,57,57.0,1,0,2.0,1.8,fear,0,0.0,Vlog
normal_62_likes_77200_id_7552317372590214431,0.175438596491228,5.8595834,57,57.0,1,0,2.6,1.2,happy,1,0.5979,Vlog
normal_33_likes_86700_id_7523247946826075422,0.0,12.016105,14,14.0,1,0,1.8,1.4,happy,1,0.0,Vlog
top_83_likes_416600_id_7535822781108194582,0.0384615384615384,6.160004,26,26.0,1,0,2.6,1.0,angry,1,0.3612,Prank
top_5_likes_3100000_id_7532593973144210743,0.0,8.740135,43,43.0,1,0,2.6,1.2,happy,0,0.0,Prank
normal_6_likes_32300_id_7564181866035678519,0.0,4.32352,8,8.0,1,0,1.8,1.0,neutral,0,0.0,Vlog
top_98_likes_343800_id_7522839955991956759,0.1,8.620642,30,30.0,1,1,2.0,1.0,happy,0,0.0,Vlog
normal_18_likes_26500_id_7413886018639744286,0.1578947368421052,10.278626,19,19.0,1,0,2.0,1.0,sad,1,0.0,Vlog
top_36_likes_979300_id_7500017699733425438,0.3015873015873015,6.8278832,63,63.0,1,0,1.4,1.2,neutral,1,0.0,Vlog
normal_96_likes_84500_id_7417155830354677022,0.2857142857142857,8.146379,14,14.0,1,0,1.2,1.2,angry,0,0.0,Fashion
top_20_likes_1400000_id_7538184429018041621,0.0666666666666666,4.3857107,15,15.0,1,0,1.4,1.0,happy,1,0.0,Vlog
top_1_likes_8500000_id_7461297586738154798,0.0,6.348154,13,13.0,1,0,11.6,10.8,happy,0,0.0,Vlog
top_14_likes_1900000_id_7400546786047298846,0.0,8.037006,10,10.0,1,0,2.0,1.8,happy,1,0.0,Vlog
normal_4_likes_17400_id_7558248534412152077,0.1111111111111111,7.433119,18,18.0,1,0,1.2,1.6,neutral,1,0.0,Vlog
normal_12_likes_51000_id_7557068031394991415,0.0,4.9251184,18,18.0,1,0,2.4,1.8,angry,1,0.0,Vlog
top_22_likes_1400000_id_7505030969712217366,0.0,3.3785415,21,21.0,1,0,2.4,1.2,neutral,1,0.4404,Fitness
normal_22_likes_47900_id_7239370205254929710,0.0,4.0501037,39,39.0,1,0,4.0,2.0,neutral,1,0.0,Vlog
normal_34_likes_22700_id_7538142607772257550,0.2666666666666666,5.303231,15,15.0,1,0,5.8,1.4,happy,1,0.3612,Vlog
normal_19_likes_17300_id_7556592560974646541,0.9411764705882352,3.972064,17,17.0,1,0,1.4,1.2,sad,1,0.0,Fitness
top_21_likes_1400000_id_7516905495962209558,0.3043478260869565,7.107788,23,23.0,1,0,1.8,1.2,fear,1,0.0,Fitness
top_51_likes_747700_id_7562737445322706184,0.0833333333333333,5.0068955,12,12.0,1,0,1.6,1.4,happy,0,0.0,Vlog
normal_44_likes_59100_id_7303636279936322862,0.0161290322580645,3.61183,62,62.0,1,0,3.4,2.0,happy,1,0.0,Vlog
normal_40_likes_27500_id_7416040047637433630,0.5454545454545454,7.3405724,11,11.0,1,0,1.2,1.0,neutral,1,0.3612,Vlog
normal_10_likes_83700_id_7546779048593181965,0.0,6.970975,11,11.0,1,0,1.0,1.0,sad,0,0.0,Vlog
normal_27_likes_15400_id_7557131004574436622,0.1842105263157894,5.027501,38,38.0,1,0,3.6,3.0,sad,0,0.0,Fashion
normal_25_likes_57200_id_7558207954617453832,0.1818181818181818,6.3882947,22,22.0,0,0,2.0,1.0,happy,1,0.0,Vlog
normal_61_likes_59200_id_7557534743001074974,0.0,11.5914,10,10.0,1,0,1.0,1.4,fear,1,0.0,Vlog
top_80_likes_458400_id_7560178872621288718,0.0,3.4718106,29,29.0,1,0,2.8,1.0,neutral,1,0.0,Vlog
normal_1_likes_76400_id_7549938079100931341,0.2127659574468085,4.272751,47,47.0,1,0,1.6,1.0,sad,1,0.9439,Vlog
normal_74_likes_42000_id_7526832928811207991,0.1216216216216216,0.6378197,74,74.0,0,0,1.8,1.0,happy,1,0.0,Vlog
normal_17_likes_91400_id_7538643019420142903,0.1428571428571428,2.0108297,14,14.0,1,0,2.2,1.0,neutral,0,0.0,Vlog
top_75_likes_475700_id_7518015832954326294,0.2,5.513701,40,40.0,1,0,4.0,1.2,neutral,1,0.0,Gaming
normal_64_likes_10600_id_7483001771346922794,0.0222222222222222,6.19085,45,45.0,1,0,1.8,1.2,fear,1,-0.6408,Gaming
normal_30_likes_37900_id_7493347618081475886,0.0,15.708682,13,13.0,1,0,2.0,1.0,angry,1,0.0,Vlog
top_61_likes_630400_id_7501786655280336150,0.4583333333333333,5.5992584,24,24.0,1,0,1.6,1.0,neutral,1,0.0,Gaming
top_9_likes_2000000_id_7538175287809379604,0.0,3.8590004,8,8.0,1,0,1.4,1.0,neutral,1,0.0,Vlog
top_39_likes_865900_id_7528483160141597982,0.0,7.21566,11,11.0,1,0,3.8,1.0,neutral,1,0.0,Fashion
normal_58_likes_76600_id_7525596263971114270,0.0,6.0558014,11,11.0,1,0,2.8,2.0,happy,1,0.992,Vlog
normal_69_likes_91200_id_7533276670954884407,0.0,5.3631005,22,22.0,1,0,3.0,1.0,sad,1,0.5766,Vlog
normal_71_likes_52200_id_7433507168529304862,0.0476190476190476,11.759534,21,21.0,1,0,1.0,1.0,sad,1,0.0,Fashion
top_8_likes_2100000_id_7552319522443709716,0.0625,4.580878,16,16.0,1,0,5.0,1.6,angry,1,0.0,Vlog
normal_70_likes_63900_id_7483228758514896174,0.0,4.328274,17,17.0,1,0,2.0,1.0,neutral,0,0.0,Vlog
top_65_likes_572600_id_7541312762547408183,0.0,3.7826436,21,21.0,1,0,1.4,1.2,sad,0,0.0,Vlog
normal_78_likes_65800_id_7561456867231206711,0.0,3.3677704,12,12.0,1,0,1.0,1.0,sad,1,0.9517,Fashion
