group,is_viral_proxy,txt_title_has_mention,txt_title_has_question,txt_title_has_hashtag,bpm,rms_mean,rms_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,speech_ratio,chroma_var_0,chroma_var_1,chroma_var_2,chroma_var_3,chroma_var_4,chroma_var_5,chroma_var_6,chroma_var_7,chroma_var_8,chroma_var_9,chroma_var_10,chroma_var_11,schnitt_frequenz,durchschnittliche_bewegung,anzahl_frames,video_dauer_sek,ist_person_prominent,ist_tier_sichtbar,avg_objekte_pro_frame,avg_gesichter_pro_frame,dominante_emotion,ist_text_eingeblendet,text_sentiment_compound,video_kategorie,is_viral
normal,0,1,0,1,147.65625,0.1130741611123085,0.0220951698720455,1693.7774223237418,608.151013806133,1909.5398788841912,348.990380791958,0.9977116704805492,0.0999364258760164,0.0635090855708473,0.086251211568274,0.0631602627718015,0.083850767570289,0.0940525741564462,0.0547166144493006,0.0912676782189512,0.0582933993905599,0.0808823485069289,0.0503573861345364,0.0619748186999249,0.2857142857142857,8.146379,14,14.0,1,0,1.2,1.2,angry,0,0.0,Fashion,0
normal,0,0,0,0,123.046875,0.0435980223119258,0.0215976368635892,3382.4892653666193,1158.0332590435855,3829.6275470367,766.658690525248,0.9702444208289054,0.1098504614117497,0.0765418234857957,0.0938362664898314,0.0757835927257174,0.0919718628669415,0.1041322778955031,0.0731867031295491,0.1032547456581765,0.072514751975294,0.1090677275193304,0.0773833434507676,0.0805933771527108,0.3684210526315789,11.737617,57,57.0,0,0,2.0,1.2,sad,1,0.0,Fashion,0
normal,0,1,0,0,107.666015625,0.1363173425197601,0.0519159138202667,2887.549515982852,1057.7928627738022,3380.286649813449,565.0600633741641,0.9987834549878344,0.1034290922006793,0.0809904855777836,0.0792379569284562,0.053207003782148,0.0855336198216654,0.0730455440137569,0.0691797256068154,0.1037839305004531,0.0676209450404706,0.0765211199680719,0.0558666666484518,0.0713011942047198,0.36,9.99598,25,25.0,1,0,2.2,1.2,neutral,0,0.0,Fashion,0
normal,0,1,0,0,92.28515625,0.1696779429912567,0.1357756555080413,2495.068684329637,1368.254166293755,2410.5842090765937,936.4678725042994,0.9705882352941176,0.1217460391978392,0.0607964089789947,0.1274988375834124,0.0635526061616286,0.0958750390202407,0.0837700274598037,0.0492840172713028,0.0454235247662866,0.0746545090858455,0.1215975073534492,0.0847642543463637,0.0625432748253527,0.0476190476190476,11.759534,21,21.0,1,0,1.0,1.0,sad,1,0.0,Fashion,0
normal,0,1,0,1,83.35433467741936,0.1242968440055847,0.0426890552043914,2893.2693312324,1177.5025869312117,3258.3036774107013,621.8666959329112,0.9968274111675128,0.0904557046820904,0.0784028930211637,0.1081844143382582,0.0758578783409518,0.1076793250977653,0.0958498382917105,0.0892202685864568,0.066124164128929,0.07531404943628,0.0845917713900389,0.0506142161958772,0.1266764776541228,0.75,11.450206,48,48.0,1,0,2.6,1.2,sad,1,0.0,Unboxing,0
normal,0,0,0,1,147.65625,0.0458564348518848,0.044010866433382,1975.0777566015397,1202.795288835236,2279.804243059668,821.2534735006982,0.9390503189227498,0.1037945877276147,0.0921522607793203,0.0903815683084813,0.0940853123908972,0.0799586422075699,0.0936649534898751,0.0890061131207395,0.0861148711211154,0.0789307259994653,0.0955607259290612,0.0872133271248181,0.0895756178448569,0.0823529411764705,6.322501,85,85.0,1,0,3.2,2.0,neutral,1,0.5994,Prank,0
top,1,0,0,0,93.9630681818182,0.0737862959504127,0.0311986058950424,2439.5283329885083,1367.2100628027722,3046.4947054329227,862.368440260498,0.9920159680638724,0.0819009844686189,0.0715673451306379,0.0737910254307153,0.0718995702748147,0.0754067466661805,0.0610213117181234,0.0551869291040581,0.0676048284421395,0.0879250661486001,0.0888804463664643,0.0891958345055158,0.0967542157613337,0.0625,4.626656,16,16.0,1,0,1.0,1.0,surprise,0,0.0,Tanz,1
top,1,0,0,0,234.90767045454547,0.3531055152416229,0.1611463725566864,1412.66251804219,1098.6061488785829,1989.4763386160616,670.0864120056885,0.9878048780487804,0.0732953630626938,0.0895701121040987,0.1003858515548658,0.0995881435563325,0.1487861433559104,0.100022526012051,0.1287153594762483,0.1208322846030978,0.0816508447711154,0.1277781337799493,0.0632604877624126,0.1086373669511907,0.0,6.348154,13,13.0,1,0,11.6,10.8,happy,0,0.0,Prank,1
top,1,0,0,0,151.99908088235293,0.180237740278244,0.0530927143990993,2720.7185358752345,1791.421375681486,3119.4279406195037,1251.066388496136,0.996007984031936,0.0579649698965501,0.0636909150508167,0.0719020434025087,0.0812317981552365,0.0916439192552359,0.1021464087089014,0.0945093446760474,0.0780812894697278,0.064470332889594,0.0628681110922221,0.0525041497104059,0.0467424469527229,0.0,9.691022,16,16.0,1,0,1.4,1.2,happy,0,0.0,Beauty,1
top,1,0,0,1,99.38401442307692,0.1874204874038696,0.0892179682850837,2506.0425801780334,1322.724591093135,3008.990421259513,637.2335978949803,0.998003992015968,0.1067546847770642,0.1011457731783061,0.0946833588232878,0.0892271101452977,0.0877299019328675,0.071463255088579,0.063125163406736,0.0678608982185762,0.0702514634720031,0.1158602238226111,0.0789732278722454,0.0912254293717059,0.0,6.528947,16,16.0,1,0,1.4,1.0,sad,0,0.0,Prank,1
